video_id,title,description,published_at,channel_id,channel_title,category_id,category_name,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
9l5QY7BJmHQ,"Janaab-e-Aali | Full Song | WAR 2 | Hrithik Roshan, NTR | Pritam, Sachet Tandon, Saaj Bhatt, Amitabh","You loved it in theatres and now you can dance on it anywhere!🕺🕺#JanaabeAali full song out now!
#War2 in cinemas in Hindi, Telugu and Tamil.
Book your tickets now - https://link.district.in/DSTRKT/pwar2 | https://bookmy.show/War2

► Subscribe Now: https://goo.gl/xs3mrY 🔔 Stay updated!
► YRF New Releases - https://www.youtube.com/playlist?list=PLCB05E03DA939D484

🎧 Song Credits:
Music: Pritam
Lyrics: Amitabh Bhattacharya
Singers: Sachet Tandon, Saaj Bhatt
Additional Vocals: Brianna Supriyo, Shreya Phukan
Sufi Vocals: Danish Sabri, Dev Arijit
Director of Choreography: Bosco Leslie Martis
Music Production and Arrangement: AM.AN
Riff Lyrics and Design: Tsumyoki, Shreya Phukan, Dev Arijit, Brianna Supriyo
Additional Music Arranger: DJ Phukan
Sound Design: DJ Phukan, Ashwin Kulkarni
Chief Engineer and Shoot Mix: Ashwin Kulkarni
Mixed By: Vijay Dayal (YRF Studios)
Mastered By: Donal Whelan @ Hafod Mastering, Wales
Music Production Manager: Brianna Supriyo
Studio Manager: Mithila Lad Nayak
Sound Engineers: Pranav Gupta, Aniruddh Anantha, Dev Arijit, Akash Mukherjee
Vocal Conductors: Aniruddh Anantha, Dev Arijit, Akash Mukherjee
Studio and Music Assistants: Jaibir Singh, Ameya Dayal, Khush Jaggi, Purvash Chakraborty, Mrignaini Chakraborty
Music Assistant: Sagar Sathe (YRF Studios)
Studio Assistant: Rahul Sahajrao (YRF Studios)
Backing Vocal Design: Dev Arijit, Aniruddh Anantha, Thomson Andrews
Chorus: Dev Arijit, Aniruddh Anantha, Akash Mukherjee, Ameya Dayal, Suhail Khan, Mohammad Shabab, Matin Khan, Monu Rathod, Sonu Ishteyak Khan, Mihir Sharma, Pranav Singhal, Aditya Hembram, Thomson Andrews, Crystal Sequeira, Gwen Dias, Rajiv Sunderasan
Tabla: Ishteyak Khan, Shashikant Govind Prasad Sharma
Harmonium: Akhlakh Hussain, Pardeep Pandit
Banjo: Rashid Khan, Pardeep Pandit

Stay in the filmy loop:
► Like us on Facebook: Facebook/yrf 
► Follow us on X: x.com/yrf
► Follow us on Instagram: Instagram/yrf
► Visit us on: yashrajfilms.com

🎬 MOVIE CREDITS:
Movie: WAR 2
Starring: Hrithik Roshan, NTR, Kiara Advani
Director: Ayan Mukerji
Producer: Aditya Chopra
Co-Producer: Akshaye Widhani
Screenplay: Shridhar Raghavan
Director of Photography: Benjamin Jasper ACS 
Music: Pritam
Lyrics: Amitabh Bhattacharya
Dialogues: Abbas Tyrewala
Story: Aditya Chopra
Associate Producer: Rishabh Chopra
Executive Producer: Sanjay Shivalkar
Editor: Aarif Sheikh
Production Designers: Rajat Poddar, Amrita Mahal Nakai
Sound: Dileep Subramaniam, Ganesh Gangadharan
Background Music: Sanchit Balhara, Ankit Balhara
Action Directors: Spiro Razatos, Franz Spilhaus, Anl Arasu, Oh Sea Young, Craig Macrae, Sunil Rodrigues [ROD]
Costume Designers: Anaita Shroff Adajania, Niharika Jolly
Director of Choreography: Bosco Leslie Martis
Visual Effects Studio: yFX
Casting Director: Shanoo Sharma
Supervising Producer: Gurpreet Singh
Trailers & Promos: Mohit Sajnaney
Release Date: 14 August 2025

About YRF Spy Universe:
YRF Spy Universe is a first of its kind cinematic universe of spy thriller films in India. The first film in the universe, ""Ek Tha Tiger,"" starring Salman Khan and Katrina Kaif was released in 2012, followed by its sequel ""Tiger Zinda Hai"" in 2017. The third film in the universe, ""War"" was released in 2019 and starred Hrithik Roshan and Tiger Shroff in pivotal roles. ""Pathaan"" was the fourth instalment in the Spy Universe franchise which was released in 2023 starring Shah Rukh Khan, Deepika Padukone and John Abraham. ""Tiger 3"", the fifth instalment in the YRF Spy Universe and the third film in the Tiger series, starring Salman Khan, Katrina Kaif and Emraan Hashmi, released in 2023. ""War 2"", the sixth film in the YRF Spy Universe, starring Hrithik Roshan, NTR and Kiara Advani, directed by Ayan Mukerji, released on 14 August 2025. ""Alpha"", the seventh film in the franchise and Hindi cinema’s first female-led YRF Spy Universe film, starring Alia Bhatt and Sharvari, will release on 25 December 2025.

#yrfnewreleases #yrf #yashraj #yashrajfilms #yrfmovies #yrfmusic #adityachopra #hrithikroshan #ntr #kiaraadvani #ayanmukerji #pritam #amitabhbhattacharya #sachettandon #saajbhatt #newsong #bollywoodsongs #newsong2025

© Yash Raj Films Pvt. Ltd.",2025-08-20T09:33:21Z,UCbTLwN10NoCU4WDzLf1JMOA,YRF,10,Music,"['janaab-e-aali song', 'janaabe aali war 2 song', 'janabe ali song', 'janab e ali song', 'janabe ali full song video', 'war 2 new song', 'samjhe janabe ali song', 'chahe jitni ho raat kali war 2 song', 'janab e ali war 2', 'janaab-e-aali full song', 'ntr hindi song', 'hrithik roshan new song', 'ntr new song 2025', 'hrithik ntr dance song', 'hrithik ntr song', 'sachet tandon new song', 'war 2 movie song', 'new song', 'new song 2025', 'new song hindi', 'hindi song 2025', 'tripping high song', 'war 2 tripping high song']",PT3M37S,hd,true,5340589,154908,0,0,6782
gWz_HMuqDIE,"The Ba***ds Of Bollywood | Preview | Bobby Deol, Lakshya, Raghav, Sahher | Netflix India","Bohot hard. Aur bohot heart bhi ❤️‍🔥🎬 

Watch The Ba***ds of Bollywood, out 18 September, only on Netflix.

Music scored and composed by Shashwat Sachdev.

Watch on Netflix: https://www.netflix.com/title/81975484

Follow Netflix India on:
Website: https://www.netflix.com/
YouTube: http://bit.ly/NetflixIndiaYT
Instagram: http://www.instagram.com/netflix_in
Facebook: http://www.facebook.com/NetflixIN
Twitter: http://twitter.com/netflixindia",2025-08-20T12:50:47Z,UCZSNzBgFub_WWil6TOTYwAg,Netflix India,24,Entertainment,"['Bobby Deol', 'Karan Johar', 'Lakshya', 'Manoj Pahwa', 'Raghav Juyal', 'action', 'actors life', 'announcement', 'aryan khan paps', 'bastards of bollywood', 'bollywood', 'bollywood romance', 'bollywood star', 'debut series aryan khan', 'drama', 'karan johar', 'music', 'rce', 'redchillies', 'srk', 'srk new movie', 'srk son aryan khan', 'thriller', 'shah rukh khan', 'gauri khan', 'aryan khan', 'aryan khan series', 'salman khan', 'ranveer singh', 'bads of bollywood', 'bastards', 'nepotism', 'anya']",PT2M38S,hd,true,27011358,162057,0,0,7512
Vke4EE9PEJk,Jonathan is Live | Join me and LoLzZz For The Ultimate Gaming Experience,"What's up, guys! Get ready for an epic night. I'm going LIVE with my buddy Lolz to unbox and test the brand-new #realmeP4Pro. This phone has some serious power with its Dual Chip, and we're going to put it to the test with some intense gameplay.
Explore the #realmeP4Pro in action with me and Lolz! Dive into the livestream, powered by Dual Chip power. Watch the thrill unfold, interact, and WIN BIG!

India's only Dual-chip Smartphone under 20k.
Search realme P4 Pro on Google and get a chance to win rewards up to Rs. 5Cr.
22nd August | Only on @realmelndia | 7 PM onwards

#realmeP4Series #PowerToExplore

Check Now:
Flipkart: https://tinyurl.com/6k8jrzmh
realme Website: https://tinyurl.com/nfzavdvt 

Hey Guys, I’m Jonathan Amaral, better known as Jonathan Gaming, a professional BGMI esports athlete and streamer.

Since the start of my journey, my dedication to the game has been defined by precision, consistency, and an unstoppable grind. As an assaulter, I’ve built a reputation for clutch performances and high-impact gameplay, earning respect in the BGMI community. 

Through years of dedication, I’ve honed my skills, adapting to every challenge and evolving with the game. Whether in high-stakes tournaments or streaming for the gaming community, my focus remains the same - pushing the limits and delivering top-tier gameplay.

Redbull Athlete 🧢
BGIS 2025 Runner up 🥈
BGIS 2025 Finals MVP 👑
BGIS 2025 Overall Top Fragger 🎯
BMPS 2024 2nd Runner up 🥉
BGMS 2022 MVP 🏆
BGMS 2022 Runner up 🥈
BGIS 2021 Overall Top Fragger 🎯
PMWL #2 Overall Fragger 💣
PMCO Globals #4 Fragger 💣
PMPL 2020 Finals #2 Fragger 🎯
PMPL 2020 Finals Runner up 🥈
PMIS 2020 Top Fragger 🎯
PMIS 2020 India Champions 🏆
PMCO 2019 Fall Split SA Champion 🏆


 Follow Me & Stay Connected! 
📷 Instagram - @ig_jonathangaming
💬 Discord - https://discord.gg/jonathan
📺 YouTube - https://www.youtube.com/@JONATHANGAMINGYT/
🐦 Twitter - @ig_jonathan16

🎮 Join the #JonathanArmy & Be Part of the Esports Revolution! 🎮
💖 Like, Share & Subscribe for More Epic Content! 💖

#JONATHANISLIVE #JONATHANBGMI #JONATHANGAMING #ESPORTS #BGMIINDIA #GAMING #LIVESTREAM",2025-08-22T19:56:28Z,UCNoiWmvkDUL0q-6ECxNFH0Q,JONATHAN GAMING,20,Gaming,"['jonathan', 'jonathan gaming', 'esports', 'BGMI', 'BattleGroundsMobileIndia', 'classics', 'randoms', 'customs', 'jonathan vs zgod', 'contolcode', 'jonathan gaming sensitivity', 'TAPATAP', 'HACKERORWHAT', 'jonathanhandcam', 'jonathantdm', 'TDMGAMEPLAY', 'best crate opening', 'huge crate opening', 'biggest crate opening ever', 'crate opening']",PT2H22M16S,hd,false,1704164,152380,0,0,333
-YlmnPh-6rE,For A Reason (Official Video) Karan Aujla | Tania  | Ikky | Latest Punjabi Songs 2025,"Rehaan Records Present

Song -  For A Reason
Singer/Lyrics/Composer - Karan Aujla
Producer-  Ikky
Directed By: Agam Mann & Aseem Mann
Marketing - La Music Promotions Co

DOP: Shinda Singh
Story/Movement Choreographer: John
Dance Choreographers - Mohit & Serene
Dance Assistant Choreographer - Nandini Mishra 
Production: Monty Films & Production
Production Team: Monty, Harry, Raman, Mukesh, Tarun, Deepanshu
Creative Director: Shoaib Ahmed Shawl 
Art Director (Setups): Sonu Arts 
Art Director (Live Location): Rajan Arts
Art Assistant: Kaka
Assistant Directors: Ashish Uppal, Rajat Yadav, Karan Kamra
Gaffer: Tiger
DMX Operator: Manu Singh
Jimmy Jib Operator: Manish Arora
Spot Team: Sonu 
Camera Rental: Java Motion
Child Artist Casting: Elvin Art Academy Rajpura
Child Artists: Poorthi, Inaaya, Kittu, Misha, Divyana, Eyaan, Samar, Aniket, Garv, Samaksh, Bhavik
Security / Bouncers: Harwinder Singh 
Dancers Coordinator: Divya
Extras Casting: Babbu
Studio Floor: Punjab Film City 
Kites: Bittu Kite Maker 
Lighting: North India Light

Styling (Karan Aujla): Nikita Jaisinghani
Styling Assistant: Chetna Vavia
Stylist (Tania): Rajat Manchanda
Extras & Dancers Styling: Rajat Manchanda
Hair (Karan Aujla): Salman
Makeup (Karan Aujla): Honey Kalsi
Makeup (Tania): Kashish 
Hair (Tania): Krishna
 
Editing: Agam Mann
Color Grade: Onkar Singh
VFX: Eastape Films (Navi Joshi, Veerinder Singh, VisualByPotter)",2025-08-22T08:30:05Z,UCm9SZAl03Rev9sFwloCdz1g,Rehaan Records,10,Music,"['Karan Aujla', 'For A Reason', 'PPOP Culture', 'Karan Aujla Official Video', 'Punjabi songs', 'Punjabi rap', 'latest Punjabi songs', 'Indian hip hop', 'Karan Aujla album', 'new Punjabi music', 'For A Reason Karan Aujla', 'PPOP Culture album', 'Punjabi hits', 'Karan Aujla new song', 'Punjabi music video', 'Karan Aujla PPOP Culture', 'daytona', 'I Really Do...', ""You're U Tho"", 'Boyfriend', 'HIM.', ""Flip-Side (Sandy's Interlude)"", ""I'ma Do My Thiiing"", 'Daytona', '7.7 Magnitude', 'MF Gabhru!', 'P-POP CULTURE']",PT3M9S,hd,false,8676564,156288,0,0,5081
dfyec7cQoAI,Karam - Official Trailer | Vineeth Sreenivasan | Noble Babu Thomas | Shaan Rahman|Visakh Subramaniam,"For more latest songs & videos, subscribe 👉 https://bit.ly/Saregama_Malayalam

Presenting the official trailer of ""Karam"" starring Noble Babu Thomas and others. Directed by Vineeth Sreenivasan. Music Composed by Shaan Rahman.

Movie Credits:

Merryland Cinemas & Habit of life presents 

Directed by  : Vineeth Sreenivasan 
Produced by : Visakh Subramaniam & Vineeth Sreenivasan 
Written by : Noble Babu Thomas 
DOP : Jomon T John ISC
Music : Shaan Rahman 
Distribution : A Merryland Cinemas Relase 
Editor : Ranjan Abraham 
Line Producers :Madhav Ramesh & Parvathy K Madhu 
Line Producer (Georgia) : Irakli makatsaria( Maq Entertainments )
Executive Producer : Sravan  Krishnakumar
Creative Director : Sharook Rasheed
Costume :Mashar Hamsa
Thrills : Lazare Vardukadze, Noble babu Thomas  & Irakli Sabanadze 
Production Controller :Sajeev chandiroor 
Production Designer :Vinod Raveendran 
Art Director :Arun Krishna
Makeup : Manu Mohan 
Chief Associate Director : Abhay Warrier 
Stills :Anup Chacko 
Finance Controllers :Vijesh Ravi & Tinson Thomas
Sound Design: Sync Cinema 
Sound Mixing: Vipin Nair
Colourist : Srik Varier
Overseas partner : phars film 
Music On : Saregama 
Brand partner : Kalyan jewellers


Label: Saregama India Limited, A RPSG Group Company

To buy the original and virus free track, visit www.saregama.com
Follow us on: YouTube: https://www.youtube.com/user/Saregamamalayalam
Facebook: http://www.facebook.com/Saregamamalayalam
X: https://twitter.com/saregamasouth​​",2025-08-21T12:28:06Z,UCoRF8GByEjmM_yHwUGIDGyQ,Saregama Malayalam,1,Film & Animation,[],PT2M9S,hd,true,1103153,41576,0,0,3216
nrfyiX3ttsM,[HINDI] 2025 OnePlus Android BGMS Season 4 | League Week 1 - Day 5,"🔥 Esports Ka Blockbuster shuru ho chuka hai! Players are locked, loaded, and ready to drop into the Battlegrounds — jahan sirf sabse zabardast squads dikhaenge apna asli game ⚡

Welcome to the official livestream of 2025 OnePlus Android Battlegrounds Master Series Season 4 📺
The fight for ₹1.5 Crore prize pool begins — har match mein hoga high-octane action aur dhamakedar clutches!

📅 League Stage Dates: 18 August – 7 September
24 invited teams will battle it out in the league stage —
Top 4 ➡ Grand Finals
Mid 8 ➡ Semi Finals
Remaining 12 ➡ Playoffs

Today’s Matches 🔥
1️⃣ Erangel – AC
2️⃣ Miramar – AC
3️⃣ Sanhok – AB
4️⃣ Erangel – AB

Group A
FS Esports | Medal Esports | iQOO Reckoning Esports | myG Los Hermanos | Team AX | Infinix True Rippers | Likitha Esports | Victores sumus

Group B
OnePlus Gods Reign | META NINZA | iQOO ORANGUTAN | iQOO REVENANT X SPARK | NoNx | MARCOS GAMING | iQOO SOUL | TWOB

Group C
4TR Official | GENESIS ESPORTS | OnePlus K9 Esports | Hero Xtreme Godlike | Phoenix esports | MADKINGS | iQOO8BIT | Global esports

💬 Chat mein apni favorite team ka naam likho aur witness karo kaun banega iss blockbuster ka superstar!

Follow Nodwin Gaming for more:
📸 Instagram: https://www.instagram.com/nodwingaming/
📘 Facebook: https://www.facebook.com/NODWINGaming
🌐 Website: https://nodwingaming.com/
🐦 Twitter: https://www.x.com/NodwinGaming
▶️ YouTube: /@nodwingaming

#BGMS #BGMS2025 #EsportsKaBlockbuster #nodwingaming #oneplus #android #starsports #BGMI #esports",2025-08-22T15:49:55Z,UCbgq4Y6WypFnBBzrBDgR0zA,NODWIN Gaming,20,Gaming,"['bgmi', 'panfest', 'lan tournament', 'gaming tournament', 'open tournament', 'participate and win', 'battlegrounds mobile india', 'comic con 2025', 'bgmi lan', 'bgmi live', 'android', 'godlike', 's8ul', 'Jonathan', 'Krafton']",PT3H38M56S,hd,false,1893076,67273,0,0,383
5ZOojhaLymo,Vazhiyiraen - Song Promo | Madharaasi | Sivakarthikeyan | A.R.Murugadoss | Anirudh Ravichander,"Junglee Music Tamil presents the promo of #Vazhiyiraen from #Madharaasi Written and Directed by A.R.Murugadoss , Starring Sivakarthikeyan & Rukmini Vasanth. Music Composed by Anirudh Ravichander.

#Vazhiyiraen #Madharaasi #Sivakarthikeyan #RukminiVasanth #A.R.Murugadoss #AnirudhRavichander #2025TamilSong 

Movie Name : Madharaasi
Song Name : Vazhiyiraen
Music : Anirudh Ravichander
Lyrics : Vignesh Shivan
Singer : Anirudh Ravichander

Movie Credits :
Banner : Sri Lakshmi Movies
Cast : Sivakarthikeyan, Rukmini Vasanth, Vidyut Jammwal, Biju Menon, Shabeer Kallarakkal, Vikranth
Director of Photography : Sudeep Elamon
Produced by : Sri Lakshmi movies
Written and Directed by : A.R. Murugadoss
Promotional Videos : Image One Studios
Audio on : Junglee Music

Like || Share || Spread || Love 

Make sure you subscribe and never miss a video: http://bit.ly/1Z2vfsO

Enjoy and stay connected with us!!
►Subscribe us on YouTube: 
►Like us: http://on.fb.me/1JM72Nf​
►Follow us: http://bit.ly/1jkVDxg​
►Circle us: http://bit.ly/1N5n48y​

SUBSCRIBE Junglee Music Channels for unlimited entertainment: 
►For Kannada Songs & Videos: http://bit.ly/1WmC9H2​
►For Tamil Songs & Videos: http://bit.ly/1Z2vfsO​
►For South Devotional Songs: http://bit.ly/1VD5kc0​

© 2025 Times Music",2025-08-22T13:30:26Z,UCXS0LXj5BO9CS8uVBFPBvrg,Junglee Music Tamil,10,Music,"['Vazhiyiraen promo', 'Vazhiyiraen Lyrical Video', 'Vazhiyiraen', 'Madharaasi Songs', 'Madharaasi first song', 'Madharaasi', 'Anirudh Ravichander', 'new tamil movie trailer', 'sivakarthikeyan movies', 'Tamil new movies', 'tamil movie trailers', 'junglee music tamil', 'sivakarthikeyan new movie tamil', 'Madharasi First Look', 'madharasi teaser', 'madrasi trailer', 'madrasi teaser', 'matharasi teaser', 'tamil songs', 'new tamil songs 2025', 'new tamil movies', 'tamil new songs', 'tamil blockbuster movies', 'sk new movie']",PT37S,hd,false,286041,18738,0,0,426
hSBwq8yrXf0,"World of Thama | Official Teaser | Ayushmann, Rashmika, Paresh, Nawazuddin | Dinesh V | This Diwali","Na darr kabhi itna shaktishaali tha, aur na pyaar kabhi itna BLOODY!🦇

Brace yourself this Diwali to witness the first love story in the Maddock Horror-Comedy Universe. Step into the World of #Thama, a cinematic experience unlike anything you’ve seen before, storming into cinemas worldwide.

#WorldOfThama #MaddockFilms #Diwali2025

Featuring:  Ayushmann Khurrana, Rashmika Mandanna, Paresh Rawal & Nawazuddin Siddiqui
Directed by: Aditya Sarpotdar
Produced by: Dinesh Vijan & Amar Kaushik
Written By: Niren Bhatt, Suresh Mathew & Arun Fulara
Co-Producers: Sharada Karki Jalota & Pooja Prem Patheja
Music Composer: Sachin–Jigar
Lyrics: Amitabh Bhattacharya
Director of Photography: Saurabh Goswami 
Publicity Design: Himanshu & Rahul Nanda (H-One)

#AyushmannKhurrana #RashmikaMandanna #PareshRawal #NawazuddinSiddiqui #DineshVijan #Thama #diwali2025 

Follow us on:
Instagram: https://www.instagram.com/maddockfilms/
Twitter: https://x.com/MaddockFilms
Facebook: https://www.facebook.com/maddockfilms
Threads: https://www.threads.net/@maddockfilms",2025-08-19T05:40:07Z,UC-LOdiPoxninevJ0DkleCLg,Maddock Films,24,Entertainment,"['Ayushmann Khurrana', 'Rashmika Mandanna', 'Paresh Rawal', 'Nawazuddin Siddiqui', 'Thama', 'World Of Thama', 'New Trailer 2025', 'Trailer 2025', 'Hindi Movies 2025', 'Official Movie Trailers', 'Bollywood Movie Trailers', 'Rashmika Mandanna Movies', 'Ayushmann Khurrana Movies', 'Ayushmann Khurrana Songs', 'Maddock Films', 'Horror Movie Trailer', 'Thriller Movie', 'Drama', 'Thriller', 'Love Story', 'Thama Trailer', 'Thama Teaser', 'Thama Movie Trailer', 'Thama Movie Teaser']",PT1M50S,hd,false,38377745,665705,0,0,64284
UF6ps0Pzz1Y,Choo Choo Charles Monster Train with Ajay Khutail #shortslive #horrorgaming,Choo Choo Charles Monster Train with Ajay Khutail #shortslive #horrorgaming,2025-08-23T05:09:36Z,UCjozuND0dR5sNgNUKJaEcRg,Ajay Khutail,20,Gaming,[],PT1H41M35S,hd,false,918630,7723,0,0,0
3uE9gAaMGuw,"शनिवार के दिन जरूर अपने घर में ये सुंदरकांड चलाकर रख देना कर्ज ,बीमारी खत्म और धन वर्षा शुरू","शनिवार के दिन जरूर अपने घर में ये सुंदरकांड चलाकर रख देना कर्ज ,बीमारी खत्म और धन वर्षा शुरू


Song - Samurn Sundarkand
Singer - Manoj Mishra
Lyrics - Paras Midha
Music - Hansraj Railhan
Recording - Kailash Ji 
Label - GOPAL BHAKTI
VG - 37031

♫ JioSaavn  - https://www.jiosaavn.com/song/sampurn-sunder-kand-superfast/FhxSBk1eAnA  
♫ Gaana - https://gaana.com/song/sampurn-sunder-kand-superfast
♫Wynk - https://wynk.in/u/djzuPyD4I
♫ Apple  Music - https://music.apple.com/us/album/sampurn-sunder-kand-superfast/1753661898
♫ YT Music - https://music.youtube.com/watch?v=Hml8Dx5PPBs&si=bFmObvhJ0YIy8fJU
♫ Spotify - https://open.spotify.com/track/7DU0IhUgTqCNwPaJNLaKPp?si=2000683c3d4a4285
♫ Amazon Muisc - https://music.amazon.in/tracks/B0D7VSL31T?marketplaceId=A21TJRUUN4KGV&musicTerritory=IN&ref=dm_sh_XoYsKNbS1FUr0UTRodM24bZQE
♫ Instagram- https://www.instagram.com/reels/audio/1246019479700159/

-----------------------------------------------------------------------------------------------------------------------------------------

हमारे फेसबुक पेज को फॉलो कर ले जिससे की आपको नए नए अपडेट मिलते रहेंगे  
Enjoy & stay connected with us!
👉  Like us on Facebook

https://www.facebook.com/bhaktidhaamHD
https://www.facebook.com/BhaktiAradhanaHD/
https://www.facebook.com/LokdhunBhakti/
https://www.facebook.com/KrishnaBhajanBhakti/
https://www.facebook.com/ShrirambhaktiLKD/
https://www.facebook.com/LokdhunBhaktiGanga/
https://www.facebook.com/profile.php?id=100076211349895
https://www.facebook.com/JaishrishyamBhakti/


हमारे इंस्टाग्राम आईडी को फॉलो कर ले जिससे की आपको नए नए अपडेट मिलते रहेंगे  
Enjoy & stay connected with us!
👉 Follow us on Instagram: 

https://www.instagram.com/wavebhaktidhaam
https://www.instagram.com/bhaktiaradhna
-----------------------------------------------------------------------------------------------------------------------------------------

सुन्दरकांड” – श्री राम चरित मानस का 5 वा अध्याय/कांड है। सुन्दर कांड (Sundar Kand) को सबसे पहले रामायण में श्री वाल्मीकि जी ने संस्कृत में लिखा था। बाद में तुलसी दस जी ने जब श्री राम चरित मानस लिखी, तो सुन्दर कांड का अवधी भाषा वाला रूप हम सब के सामने आया 
सुन्दरकाण्ड में हनुमान जी का सीता माता को खोजने के लिए की गयी लंका यात्रा का सम्पूर्ण मनमोहक बखान किया गया है।
सुन्दरकांड एक ऐसा भाग है जो सिर्फ हनुमान जी की वीरता का बखान करता है । सुन्दर कांड हनुमान जी पर केंद्रित सबसे पुरानी रचना है। ऐसा माना जाता है के सुन्दरकाण्ड के पाठ से सभी मनोकामनाएं पूर्ण होती हैं ।

सुन्दर कांड के फायदे | Benefits of - Sunder Kand
 यह कहा जाता है कि चालीस सप्ताह तक लगातार जो कोई श्रद्धापूर्वक Sundarkand का पाठ करता है, तो उसके सभी मनोरथ पूरे होते हैं तथा जीवन के सभी कष्ट, दुःख, परेशानियाँ दूर हो जाती हैँ । कई ज्योतिषी भी विपरित परिस्थितियों में सुंदरकांड करने की ही सलाह देते हैं। यदि किसी व्यक्ति के जीवन में अत्यधिक परेशानियां हो तथा कोई काम नहीं बन पा रहा है, आत्मविश्वास की कमी हो तो सुंदरकांड के पाठ से शुभ फल प्राप्त होता है।

Sunderkand, Sunderkand chaupai, sunderkand path, sunderkand full, sunderkand in hindi, सम्पूर्ण सुन्दरकाण्ड पाठ, Sampurn SunderKand, sunder kand, sunderkand ka path, sangeetmay sunderkand, sunderkand ramayan, Sunderkand fast, Sunderkand with lyrics, Sunder kand By Prem Parkash Dubey, Sunderkand live, Mangalwar Special, Kam samay main sunderkand, 45 min mein sunderkand, sunderkand in hindi, हनुमान जी का सुंदरकांड, रामायण का सुंदरकांड, संपूर्ण सुंदरकांड चौपाई, सुंदरकांड हिंदी में,सुंदरकांड डाउनलोड, Mangalwar special sunderkand, Tuesday special sunderkand, Tuesday speical, Sunderkand ka path kese karein, अब तक का सबसे कम समय मे गाया गया सम्पूर्ण सुन्दरकाण्ड पाठ, Sunderkand ki chaupaiya, sunderkand sunne ke labh,",2025-08-22T22:30:00Z,UC4prNtjKgED-QkyreKcyv3g,Kesari Nandan,10,Music,[],PT53M3S,hd,false,146792,1965,0,0,257
